country,freedom,gdp_per_capita,generosity,happiness_rank,happiness_score,healthy_life_expectancy,social_support,trust_government_corruption,year,continent,gdp_support
Tanzania,0.481,0.455,0.27,153,3.303,0.381,0.991,0.097,2018,Africa,0.450905
South Sudan,0.112,0.337,0.224,154,3.254,0.177,0.608,0.106,2018,Africa,0.204896
Central African Republic,0.305,0.024,0.218,155,3.083,0.01,0.0,0.038,2018,Africa,0.0
Burundi,0.065,0.091,0.149,156,2.905,0.145,0.627,0.076,2018,Africa,0.057057
Finland,0.596,1.34,0.153,1,7.769,0.986,1.587,0.393,2019,Europe,2.12658
Denmark,0.592,1.383,0.252,2,7.6,0.996,1.573,0.41,2019,Europe,2.175459
Norway,0.603,1.488,0.271,3,7.554,1.028,1.582,0.341,2019,Europe,2.354016
Iceland,0.591,1.38,0.354,4,7.494,1.026,1.624,0.118,2019,Europe,2.24112
Netherlands,0.557,1.396,0.322,5,7.488,0.999,1.522,0.298,2019,Europe,2.1247119999999997
Switzerland,0.572,1.452,0.263,6,7.48,1.052,1.526,0.343,2019,Europe,2.215752
Sweden,0.574,1.387,0.267,7,7.343,1.009,1.487,0.373,2019,Europe,2.062469
New Zealand,0.585,1.303,0.33,8,7.307,1.026,1.557,0.38,2019,Oceania,2.028771
Canada,0.584,1.365,0.285,9,7.278,1.039,1.505,0.308,2019,America,2.054325
Austria,0.532,1.376,0.244,10,7.246,1.016,1.475,0.226,2019,Europe,2.0296
Australia,0.557,1.372,0.332,11,7.228,1.036,1.548,0.29,2019,Oceania,2.1238560000000004
Costa Rica,0.558,1.034,0.144,12,7.167,0.963,1.441,0.093,2019,America,1.489994
Israel,0.371,1.276,0.261,13,7.139,1.029,1.455,0.082,2019,Asia,1.8565800000000001
Luxembourg,0.526,1.609,0.194,14,7.09,1.012,1.479,0.316,2019,Europe,2.379711
United Kingdom,0.45,1.333,0.348,15,7.054,0.996,1.538,0.278,2019,Europe,2.050154
Ireland,0.516,1.499,0.298,16,7.021,0.999,1.553,0.31,2019,Europe,2.327947
Germany,0.495,1.373,0.261,17,6.985,0.987,1.454,0.265,2019,Europe,1.9963419999999998
Belgium,0.473,1.356,0.16,18,6.923,0.986,1.504,0.21,2019,Europe,2.0394240000000003
United States,0.454,1.433,0.28,19,6.892,0.874,1.457,0.128,2019,America,2.0878810000000003
Czech Republic,0.457,1.269,0.046,20,6.852,0.92,1.487,0.036,2019,Europe,1.887003
United Arab Emirates,0.598,1.503,0.262,21,6.825,0.825,1.31,0.182,2019,Asia,1.9689299999999998
Malta,0.564,1.3,0.375,22,6.726,0.999,1.52,0.151,2019,Europe,1.9760000000000002
Mexico,0.433,1.07,0.074,23,6.595,0.861,1.323,0.073,2019,America,1.41561
France,0.436,1.324,0.111,24,6.592,1.045,1.472,0.183,2019,Europe,1.948928
Taiwan,0.351,1.368,0.242,25,6.446,0.914,1.43,0.097,2019,Asia,1.95624
Chile,0.357,1.159,0.187,26,6.444,0.92,1.369,0.056,2019,America,1.586671
Guatemala,0.535,0.8,0.175,27,6.436,0.746,1.269,0.078,2019,America,1.0151999999999999
Saudi Arabia,0.439,1.403,0.08,28,6.375,0.795,1.357,0.132,2019,Asia,1.903871
Qatar,0.555,1.684,0.22,29,6.374,0.871,1.313,0.167,2019,Asia,2.211092
Spain,0.362,1.286,0.153,30,6.354,1.062,1.484,0.079,2019,Europe,1.9084240000000001
