country,freedom,gdp_per_capita,generosity,happiness_rank,happiness_score,healthy_life_expectancy,social_support,trust_government_corruption,year,continent,gdp_support
Lithuania,0.21342,1.14723,0.02641,56,5.833,0.73128,1.25745,0.01031,2015,Europe,1.4425843635
Nicaragua,0.55475,0.59325,0.27815,57,5.828,0.74314,1.14184,0.19317,2015,America,0.67739658
Peru,0.41496,0.90019,0.14982,58,5.824,0.73017,0.97459,0.05989,2015,America,0.8773161721
Belarus,0.37938,1.03192,0.11046,59,5.813,0.73608,1.23289,0.1909,2015,Europe,1.2722438488
Poland,0.53122,1.12555,0.16759,60,5.791,0.77903,1.27948,0.04212,2015,Europe,1.440118714
Malaysia,0.53024,1.12486,0.33075,61,5.77,0.72394,1.07023,0.10501,2015,Asia,1.2038589178
Croatia,0.25883,1.08254,0.05444,62,5.759,0.78805,0.79624,0.0243,2015,Europe,0.8619616496
Libya,0.41668,1.13145,0.18295,63,5.754,0.7038,1.11862,0.11023,2015,Africa,1.265662599
Russia,0.36679,1.13764,0.00199,64,5.716,0.66926,1.23617,0.03005,2015,Europe,1.4063164388
Jamaica,0.50442,0.81038,0.2123,65,5.709,0.68741,1.15102,0.02299,2015,America,0.9327635875999999
North Cyprus,0.49027,1.20806,0.26169,66,5.695,0.92356,1.07008,0.1428,2015,Europe,1.2927208447999998
Cyprus,0.40672,1.20813,0.30638,67,5.689,0.92356,0.89318,0.06146,2015,Europe,1.0790775534
Algeria,0.28579,0.93929,0.07822,68,5.605,0.61766,1.07772,0.17383,2015,Africa,1.0122916188
Kosovo,0.24749,0.80148,0.2831,69,5.589,0.63132,0.81198,0.04741,2015,Europe,0.6507857304
Turkmenistan,0.4761,0.95847,0.16979,70,5.548,0.53886,1.22668,0.30844,2015,Asia,1.1757359796
Mauritius,0.56066,1.00761,0.37744,71,5.477,0.7095,0.98521,0.07521,2015,Africa,0.9927074480999999
Hong Kong,0.59608,1.38604,0.39478,72,5.474,1.01328,1.05818,0.37124,2015,Asia,1.4666798071999998
Estonia,0.44888,1.15174,0.0868,73,5.429,0.77361,1.22791,0.15184,2015,Europe,1.4142330634
Indonesia,0.46611,0.82827,0.51535,74,5.399,0.63793,1.08708,0.0,2015,Asia,0.9003957516
Vietnam,0.59444,0.63216,0.1686,75,5.36,0.74676,0.91226,0.10441,2015,Asia,0.5766942816
Turkey,0.22815,1.06098,0.12253,76,5.332,0.73172,0.94632,0.15746,2015,Asia,1.0040265936000001
Kyrgyzstan,0.43477,0.47428,0.3003,77,5.286,0.65088,1.15115,0.04232,2015,Asia,0.5459674219999999
Nigeria,0.34334,0.65435,0.27233,78,5.268,0.16007,0.90432,0.0403,2015,Africa,0.591741792
Bhutan,0.53206,0.77042,0.47998,79,5.253,0.57407,1.10395,0.15445,2015,Asia,0.850505159
Azerbaijan,0.3703,1.02389,0.07799,80,5.212,0.64045,0.93793,0.16065,2015,Asia,0.9603371477
Pakistan,0.12102,0.59543,0.33671,81,5.194,0.51466,0.41411,0.10464,2015,Asia,0.2465735173
Jordan,0.40661,0.90198,0.11053,82,5.192,0.69639,1.05392,0.14293,2015,Asia,0.9506147616
Montenegro,0.1826,0.97438,0.1614,82,5.192,0.72521,0.90557,0.14296,2015,Europe,0.8823692966
China,0.51697,0.89012,0.08185,84,5.14,0.81658,0.94675,0.02781,2015,Asia,0.84272111
Zambia,0.48827,0.47038,0.19591,85,5.129,0.29924,0.91612,0.12468,2015,Africa,0.43092452560000005
Romania,0.35068,1.04345,0.13748,86,5.124,0.7689,0.88588,0.00649,2015,Europe,0.924371486
Serbia,0.20107,0.92053,0.19231,87,5.123,0.74836,1.00964,0.02617,2015,Europe,0.9294039092
Portugal,0.51469,1.15991,0.13719,88,5.102,0.87519,1.13935,0.01078,2015,Europe,1.3215434585
Latvia,0.29671,1.11312,0.18226,89,5.098,0.72437,1.09562,0.06332,2015,Europe,1.2195565344000001
Philippines,0.62545,0.70532,0.24991,90,5.073,0.58114,1.03516,0.12279,2015,Asia,0.7301190512
Somaliland region,0.46582,0.18847,0.50318,91,5.057,0.43873,0.95152,0.39928,2015,Africa,0.1793329744
Morocco,0.41691,0.73479,0.07172,92,5.013,0.60954,0.64095,0.08546,2015,Africa,0.47096365050000005
Macedonia,0.33457,0.91851,0.22359,93,5.007,0.73545,1.00232,0.05327,2015,Europe,0.9206409432000001
Mozambique,0.34037,0.08308,0.22269,94,4.971,0.09131,1.02626,0.15603,2015,Africa,0.0852616808
Albania,0.35733,0.87867,0.14272,95,4.959,0.81325,0.80434,0.06413,2015,Other,0.7067494278
Bosnia and Herzegovina,0.09245,0.83223,0.24808,96,4.949,0.79081,0.91916,0.00227,2015,Other,0.7649525268
Lesotho,0.31767,0.37545,0.16388,97,4.898,0.07612,1.04103,0.12504,2015,Africa,0.39085471349999995
Dominican Republic,0.57672,0.89537,0.21684,98,4.885,0.66825,1.17202,0.14234,2015,America,1.0493915474
Laos,0.59591,0.59066,0.42192,99,4.876,0.54909,0.73803,0.24249,2015,Asia,0.43592479979999993
Mongolia,0.43626,0.82819,0.3323,100,4.874,0.60268,1.3006,0.02666,2015,Other,1.0771439139999999
Swaziland,0.30658,0.71206,0.18259,101,4.867,0.07566,1.07284,0.0306,2015,Africa,0.7639264504000001
Greece,0.07699,1.15406,0.0,102,4.857,0.88213,0.92933,0.01397,2015,Europe,1.0725025798
Lebanon,0.33916,1.02564,0.21854,103,4.839,0.83947,0.80001,0.04582,2015,Asia,0.8205222564000001
Hungary,0.32112,1.12094,0.128,104,4.8,0.75905,1.20215,0.02758,2015,Europe,1.347538021
Honduras,0.40148,0.59532,0.23027,105,4.788,0.6951,0.95348,0.06825,2015,America,0.5676257135999999
Tajikistan,0.47216,0.39047,0.22974,106,4.786,0.57379,0.85563,0.15072,2015,Other,0.3340978461
Tunisia,0.26268,0.88113,0.06431,107,4.739,0.73793,0.60429,0.06358,2015,Africa,0.5324580476999999
Palestinian Territories,0.24499,0.59867,0.11251,108,4.715,0.66015,0.92558,0.12905,2015,Asia,0.5541169786
Bangladesh,0.4082,0.39753,0.21222,109,4.694,0.60164,0.43106,0.12569,2015,Asia,0.17135928179999999
Iran,0.30033,1.0088,0.38086,110,4.686,0.69805,0.54447,0.05863,2015,Asia,0.5492613359999999
Ukraine,0.25123,0.79907,0.15275,111,4.681,0.6739,1.20278,0.02961,2015,Europe,0.9611054145999999
Iraq,0.0,0.98549,0.17922,112,4.677,0.60237,0.81889,0.13788,2015,Asia,0.8070079061
South Africa,0.33207,0.92049,0.11973,113,4.642,0.27688,1.18468,0.08884,2015,Africa,1.0904860932
Ghana,0.42342,0.54558,0.23087,114,4.633,0.40132,0.67954,0.04355,2015,Africa,0.37074343319999997
Zimbabwe,0.25861,0.271,0.18987,115,4.61,0.33475,1.03276,0.08079,2015,Africa,0.27987796
Liberia,0.28531,0.0712,0.24362,116,4.571,0.34201,0.78968,0.06232,2015,Africa,0.056225216
India,0.39786,0.64499,0.26475,117,4.565,0.51529,0.38174,0.08492,2015,Asia,0.2462184826
Sudan,0.10081,0.52107,0.19062,118,4.55,0.36878,1.01404,0.1466,2015,Africa,0.5283858228
Haiti,0.24425,0.26673,0.46187,119,4.518,0.38847,0.74302,0.17175,2015,America,0.19818572460000003
Congo (Kinshasa),0.22605,0.0,0.24834,120,4.517,0.09806,1.0012,0.07625,2015,Africa,0.0
Nepal,0.38282,0.35997,0.32296,121,4.514,0.56874,0.86449,0.05907,2015,Asia,0.3111904653
Ethiopia,0.4345,0.19073,0.24325,122,4.512,0.44055,0.60406,0.15048,2015,Africa,0.11521236380000001
Sierra Leone,0.4084,0.33024,0.21488,123,4.507,0.0,0.95571,0.08786,2015,Africa,0.31561367039999993
Mauritania,0.24232,0.45407,0.219,124,4.436,0.35874,0.86908,0.17461,2015,Africa,0.39462315559999994
Kenya,0.42215,0.36471,0.37542,125,4.419,0.41435,0.99876,0.05839,2015,Africa,0.36425775959999995
Djibouti,0.46074,0.44025,0.18093,126,4.369,0.36291,0.59207,0.28105,2015,Africa,0.2606588175
Armenia,0.19847,0.76821,0.07855,127,4.35,0.7299,0.77711,0.039,2015,Asia,0.5969836730999999
Botswana,0.49495,0.99355,0.10461,128,4.332,0.04776,1.10464,0.12474,2015,Other,1.0975150720000002
Myanmar,0.44017,0.27108,0.79588,129,4.307,0.48246,0.70905,0.19034,2015,Asia,0.19220927399999999
Georgia,0.40577,0.7419,0.05547,130,4.297,0.72926,0.38562,0.38331,2015,Asia,0.286091478
Malawi,0.43054,0.01604,0.33128,131,4.292,0.22562,0.41134,0.06977,2015,Other,0.006597893599999999
Sri Lanka,0.53726,0.83524,0.40828,132,4.271,0.70806,1.01905,0.09179,2015,Asia,0.851151322
Cameroon,0.49309,0.4225,0.20618,133,4.252,0.23402,0.88767,0.05786,2015,Africa,0.375040575
Bulgaria,0.30587,1.01216,0.11921,134,4.218,0.76649,1.10614,0.00872,2015,Europe,1.1195906623999998
Egypt,0.17288,0.8818,0.11291,135,4.194,0.61712,0.747,0.06324,2015,Africa,0.6587046
Yemen,0.35571,0.54649,0.09131,136,4.077,0.40064,0.68093,0.07854,2015,Other,0.37212143570000006
Angola,0.10384,0.75778,0.12344,137,4.033,0.16683,0.8604,0.07122,2015,Africa,0.651993912
Mali,0.38857,0.26074,0.18798,138,3.995,0.20583,1.03526,0.12352,2015,Africa,0.26993369240000004
Congo (Brazzaville),0.41466,0.67866,0.12388,139,3.989,0.31051,0.6629,0.11686,2015,Africa,0.44988371400000005
Comoros,0.22917,0.23906,0.17441,140,3.956,0.36315,0.79273,0.199,2015,Africa,0.1895100338
Uganda,0.45727,0.21102,0.29066,141,3.931,0.33861,1.13299,0.07267,2015,Africa,0.2390835498
Senegal,0.36772,0.36498,0.20843,142,3.904,0.4354,0.97619,0.10713,2015,Africa,0.35628982620000005
Gabon,0.31914,1.06024,0.06822,143,3.896,0.43372,0.90528,0.11091,2015,Africa,0.9598140672000001
Niger,0.47692,0.0694,0.19387,144,3.845,0.29707,0.77265,0.15639,2015,Africa,0.05362191
Cambodia,0.66246,0.46038,0.40359,145,3.819,0.61114,0.62736,0.07247,2015,Asia,0.28882399680000004
Tanzania,0.32878,0.2852,0.34377,146,3.781,0.38215,1.00268,0.05747,2015,Africa,0.28596433600000004
Madagascar,0.19184,0.20824,0.21333,147,3.681,0.46721,0.66801,0.08124,2015,Africa,0.1391064024
Central African Republic,0.48879,0.0785,0.23835,148,3.678,0.06699,0.0,0.08289,2015,Africa,0.0
Chad,0.23501,0.34193,0.18386,149,3.667,0.1501,0.76062,0.05269,2015,Africa,0.2600787966
Guinea,0.37725,0.17417,0.28657,150,3.656,0.24009,0.46475,0.12139,2015,Africa,0.0809455075
Ivory Coast,0.46866,0.46534,0.20165,151,3.655,0.15185,0.77115,0.17922,2015,Africa,0.358846941
Burkina Faso,0.39493,0.25812,0.21747,152,3.587,0.27125,0.85188,0.12832,2015,Africa,0.2198872656
Afghanistan,0.23414,0.31982,0.3651,153,3.575,0.30335,0.30285,0.09719,2015,Asia,0.096857487
Rwanda,0.59201,0.22208,0.22628,154,3.465,0.42864,0.7737,0.55191,2015,Africa,0.17182329600000001
Benin,0.4845,0.28665,0.1826,155,3.34,0.3191,0.35386,0.0801,2015,Africa,0.10143396900000001
Syria,0.15684,0.6632,0.47179,156,3.006,0.72193,0.47489,0.18906,2015,Asia,0.314947048
Burundi,0.1185,0.0153,0.19727,157,2.905,0.22396,0.41587,0.10062,2015,Africa,0.006362811
Togo,0.36453,0.20868,0.16681,158,2.839,0.28443,0.13995,0.10731,2015,Africa,0.029204766
Denmark,0.57941,1.44178,0.36171,1,7.526,0.79504,1.16374,0.44453,2016,Europe,1.6778570572
Switzerland,0.58557,1.52733,0.28083,2,7.509,0.86303,1.14524,0.41203,2016,Europe,1.7491594092000002
Iceland,0.56624,1.42666,0.47678,3,7.501,0.86733,1.18326,0.14975,2016,Europe,1.6881097116000001
Norway,0.59609,1.57744,0.37895,4,7.498,0.79579,1.1269,0.35776,2016,Europe,1.777617136
Finland,0.57104,1.40598,0.25492,5,7.413,0.81091,1.13464,0.41004,2016,Europe,1.5952811472000001
Canada,0.5737,1.44015,0.44834,6,7.404,0.8276,1.0961,0.31329,2016,America,1.5785484150000002
Netherlands,0.55211,1.46468,0.47416,7,7.339,0.81231,1.02912,0.29927,2016,Europe,1.5073314816
New Zealand,0.58147,1.36066,0.49401,8,7.334,0.83096,1.17278,0.41904,2016,Oceania,1.5957548348
Australia,0.56837,1.44443,0.47407,9,7.313,0.8512,1.10476,0.32331,2016,Oceania,1.5957484868
Sweden,0.58218,1.45181,0.38254,10,7.291,0.83121,1.08764,0.40867,2016,Europe,1.5790466284
Israel,0.36432,1.33766,0.32288,11,7.267,0.84917,0.99537,0.08728,2016,Asia,1.3314666342
Austria,0.54355,1.45038,0.32865,12,7.119,0.80565,1.08383,0.21348,2016,Europe,1.5719653554000002
United States,0.48163,1.50796,0.41077,13,7.104,0.779,1.04782,0.14868,2016,America,1.5800706472
Costa Rica,0.55225,1.06879,0.22553,14,7.087,0.76146,1.02152,0.10547,2016,America,1.0917903608
Puerto Rico,0.46823,1.35943,0.22202,15,7.039,0.77758,1.08113,0.12275,2016,America,1.4697205558999997
Germany,0.53466,1.44787,0.30452,16,6.994,0.81487,1.09774,0.28551,2016,Europe,1.5893848138
Brazil,0.40425,1.08754,0.15776,17,6.952,0.61415,1.03938,0.14166,2016,America,1.1303673252
Belgium,0.51354,1.42539,0.2424,18,6.929,0.81959,1.05249,0.26248,2016,Europe,1.5002087211
Ireland,0.54008,1.48341,0.44963,19,6.907,0.81455,1.16157,0.29754,2016,Europe,1.7230845537
Luxembourg,0.5487,1.69752,0.27571,20,6.871,0.84542,1.03999,0.35329,2016,Europe,1.7654038248
Mexico,0.37709,1.11508,0.11735,21,6.778,0.71143,0.7146,0.18355,2016,America,0.796836168
Singapore,0.4877,1.64555,0.32706,22,6.739,0.94719,0.86758,0.46987,2016,Asia,1.427646269
United Kingdom,0.50036,1.40283,0.50156,23,6.725,0.80991,1.08672,0.27399,2016,Europe,1.5244834176
Chile,0.37789,1.2167,0.31595,24,6.705,0.81883,0.90587,0.11451,2016,America,1.1021720289999999
Panama,0.48927,1.18306,0.2418,25,6.701,0.70835,0.98912,0.08423,2016,America,1.1701883071999999
Argentina,0.42284,1.15137,0.10989,26,6.65,0.69711,1.06612,0.07296,2016,America,1.2274985844
Czech Republic,0.41418,1.30915,0.09929,27,6.596,0.76376,1.00793,0.03986,2016,Europe,1.3195315595000001
United Arab Emirates,0.56215,1.57352,0.26591,28,6.573,0.72993,0.87114,0.35561,2016,Asia,1.3707562128000002
Uruguay,0.54388,1.18157,0.18056,29,6.545,0.72183,1.03143,0.21394,2016,America,1.2187067451
Malta,0.54994,1.30782,0.56237,30,6.488,0.80315,1.09879,0.17554,2016,Europe,1.4370195378
Colombia,0.44735,1.03032,0.15626,31,6.481,0.59659,1.02169,0.05399,2016,America,1.0526676408
France,0.46562,1.39488,0.1216,32,6.478,0.83795,1.00508,0.17808,2016,Europe,1.4019659904
Thailand,0.49553,1.0893,0.58696,33,6.474,0.64915,1.04477,0.02833,2016,Asia,1.138067961
Saudi Arabia,0.37904,1.48953,0.15457,34,6.379,0.59267,0.84829,0.30008,2016,Asia,1.2635534037
Taiwan,0.32377,1.39729,0.25495,34,6.379,0.79565,0.92624,0.0663,2016,Asia,1.2942258895999998
Qatar,0.56679,1.82427,0.32388,36,6.375,0.71723,0.87964,0.48049,2016,Asia,1.6047008628
Spain,0.37545,1.34253,0.17665,37,6.361,0.87896,1.12945,0.06137,2016,Europe,1.5163205085
Algeria,0.21006,1.05266,0.07044,38,6.355,0.61804,0.83309,0.16157,2016,Africa,0.8769605194
Guatemala,0.50379,0.83454,0.28808,39,6.324,0.54039,0.87119,0.08701,2016,America,0.7270429025999999
Suriname,0.52234,1.09686,0.16665,40,6.269,0.50933,0.77866,0.12692,2016,America,0.8540810075999999
Kuwait,0.43166,1.61714,0.15965,41,6.239,0.63569,0.87758,0.23669,2016,Asia,1.4191697212
Bahrain,0.47375,1.44024,0.17147,42,6.218,0.65696,0.94397,0.25772,2016,Asia,1.3595433527999998
Trinidad and Tobago,0.48453,1.32572,0.31935,43,6.168,0.52608,0.98569,0.01241,2016,America,1.3067489468
Venezuela,0.19847,1.13367,0.0425,44,6.084,0.61904,1.03302,0.08304,2016,America,1.1711037834
Slovakia,0.23391,1.27973,0.13837,45,6.078,0.70367,1.08268,0.02947,2016,Europe,1.3855380764
El Salvador,0.37269,0.8737,0.08877,46,6.068,0.596,0.80975,0.10613,2016,America,0.707478575
Malaysia,0.39031,1.25142,0.41474,47,6.005,0.62366,0.88025,0.09081,2016,Asia,1.101562455
Nicaragua,0.46582,0.69384,0.29773,48,5.992,0.65213,0.89521,0.16292,2016,America,0.6211325064
Uzbekistan,0.60848,0.73591,0.34326,49,5.987,0.50163,1.1681,0.28333,2016,Asia,0.8596164709999999
Italy,0.18827,1.35495,0.16684,50,5.977,0.85102,1.04167,0.02556,2016,Europe,1.4114107665000002
Ecuador,0.4027,0.97306,0.10074,51,5.976,0.68613,0.85974,0.18037,2016,America,0.8365786044
Belize,0.51231,0.87616,0.23684,52,5.956,0.45569,0.68655,0.10771,2016,America,0.601527648
Japan,0.46761,1.38007,0.10224,53,5.921,0.91491,1.06054,0.18985,2016,Asia,1.4636194378
Kazakhstan,0.4052,1.22943,0.15011,54,5.919,0.57386,0.95544,0.11132,2016,Asia,1.1746465992
Moldova,0.25202,0.69177,0.19997,55,5.897,0.52309,0.83132,0.01903,2016,Europe,0.5750822364
Russia,0.32682,1.23228,0.02736,56,5.856,0.58991,1.05261,0.03586,2016,Europe,1.2971102508
Poland,0.4519,1.24585,0.14443,57,5.835,0.69058,1.04685,0.055,2016,Europe,1.3042180724999999
South Korea,0.25168,1.35948,0.18824,57,5.835,0.88645,0.72194,0.07716,2016,Asia,0.9814629912
Bolivia,0.50961,0.79422,0.21698,59,5.822,0.4697,0.83779,0.07746,2016,America,0.6653895738000001
Lithuania,0.18929,1.2692,0.02025,60,5.813,0.64674,1.06411,0.0182,2016,Europe,1.3505684119999999
Belarus,0.29091,1.13062,0.13942,61,5.802,0.63104,1.04993,0.17457,2016,Europe,1.1870718566
North Cyprus,0.43596,1.31141,0.26322,62,5.771,0.84142,0.81826,0.16578,2016,Europe,1.0730743466
Slovenia,0.53164,1.29947,0.25738,63,5.768,0.79151,1.05613,0.03635,2016,Europe,1.3724092511
Peru,0.37502,0.99602,0.14527,64,5.743,0.62994,0.81255,0.05292,2016,America,0.809316051
Turkmenistan,0.37408,1.08017,0.22567,65,5.658,0.44006,1.03817,0.28467,2016,Asia,1.1214000889000002
Mauritius,0.46145,1.14372,0.36951,66,5.648,0.66189,0.75695,0.05203,2016,Africa,0.8657388540000001
Libya,0.40672,1.06688,0.17087,67,5.615,0.52304,0.95076,0.10339,2016,Africa,1.0143468288000002
Latvia,0.27996,1.21788,0.17445,68,5.56,0.63952,0.95025,0.0889,2016,Europe,1.1572904700000002
Cyprus,0.29507,1.31857,0.27906,69,5.546,0.8488,0.70697,0.05228,2016,Europe,0.9321894329
Paraguay,0.46235,0.89373,0.25296,70,5.538,0.58295,1.11111,0.07396,2016,America,0.9930323403000001
Romania,0.36712,1.1697,0.12889,71,5.528,0.67602,0.72803,0.00679,2016,Europe,0.8515766909999999
Estonia,0.41511,1.27964,0.08423,72,5.517,0.68098,1.05163,0.18519,2016,Europe,1.3457078132000002
Jamaica,0.43597,0.89333,0.22245,73,5.51,0.59469,0.96372,0.04294,2016,America,0.8609199876
Croatia,0.23907,1.18649,0.18434,74,5.488,0.70524,0.60809,0.04002,2016,Europe,0.7214927041000001
Hong Kong,0.48079,1.5107,0.40097,75,5.458,0.95277,0.87021,0.31647,2016,Asia,1.314626247
Somalia,0.56778,0.0,0.27225,76,5.44,0.11466,0.33613,0.3118,2016,Africa,0.0
Kosovo,0.14396,0.90145,0.27992,77,5.401,0.54,0.66062,0.06547,2016,Europe,0.595515899
Turkey,0.23889,1.16492,0.04707,78,5.389,0.64718,0.87717,0.12348,2016,Asia,1.0218328764
Indonesia,0.39237,0.95104,0.56521,79,5.314,0.49374,0.87625,0.00322,2016,Asia,0.8333488
Jordan,0.36023,0.99673,0.14262,80,5.303,0.60712,0.86216,0.13297,2016,Asia,0.8593407368
Azerbaijan,0.35327,1.12373,0.0564,81,5.291,0.54504,0.76042,0.17914,2016,Asia,0.8545067665999999
Philippines,0.54854,0.81217,0.21674,82,5.279,0.47036,0.87877,0.11757,2016,Asia,0.7137106309
China,0.44012,1.0278,0.04959,83,5.245,0.73561,0.79381,0.02745,2016,Asia,0.8158779180000001
Bhutan,0.46074,0.8527,0.48546,84,5.196,0.49759,0.90836,0.1616,2016,Asia,0.774558572
Kyrgyzstan,0.40212,0.56044,0.38432,85,5.185,0.55449,0.95434,0.04762,2016,Asia,0.5348503096
Serbia,0.15718,1.03437,0.20737,86,5.177,0.6458,0.81329,0.04339,2016,Europe,0.8412427773
Bosnia and Herzegovina,0.09511,0.93383,0.29889,87,5.163,0.70766,0.64367,0.0,2016,Other,0.6010783561
Montenegro,0.15111,1.07838,0.17191,88,5.161,0.63533,0.74173,0.12721,2016,Europe,0.7998667973999999
Dominican Republic,0.52259,1.02787,0.21286,89,5.155,0.57669,0.99496,0.12372,2016,America,1.0226895352
Morocco,0.25646,0.84058,0.04053,90,5.151,0.59471,0.38595,0.08404,2016,Africa,0.324421851
Hungary,0.1977,1.24142,0.099,91,5.145,0.67608,0.93164,0.04472,2016,Europe,1.1565565288
Pakistan,0.14622,0.68816,0.31185,92,5.132,0.40306,0.26135,0.1388,2016,Asia,0.17985061600000002
Lebanon,0.26228,1.12268,0.23693,93,5.129,0.76171,0.64184,0.03061,2016,Asia,0.7205809311999999
Portugal,0.44727,1.27607,0.11691,94,5.123,0.79363,0.94367,0.01521,2016,Europe,1.2041889769
Macedonia,0.27668,1.0193,0.23507,95,5.121,0.64738,0.78236,0.07047,2016,Europe,0.7974595480000002
Vietnam,0.55954,0.74037,0.25075,96,5.061,0.66157,0.79117,0.11556,2016,Asia,0.5857585329
Somaliland Region,0.3913,0.25558,0.51479,97,5.057,0.33108,0.75862,0.36794,2016,Africa,0.19388809959999997
Tunisia,0.23553,0.97724,0.03936,98,5.045,0.59577,0.43165,0.0817,2016,Africa,0.421825646
Greece,0.05822,1.24886,0.0,99,5.033,0.80029,0.75473,0.04127,2016,Europe,0.9425521078000001
Tajikistan,0.43408,0.48835,0.25998,100,4.996,0.53119,0.75602,0.13509,2016,Other,0.36920236700000003
Mongolia,0.35972,0.98853,0.34539,101,4.907,0.55469,1.08983,0.03285,2016,Other,1.0773296499
Laos,0.52168,0.68042,0.43079,102,4.876,0.38291,0.5497,0.22423,2016,Asia,0.374026874
Nigeria,0.27854,0.75216,0.23219,103,4.875,0.05108,0.64498,0.0305,2016,Africa,0.48512815680000004
Honduras,0.26755,0.69429,0.2044,104,4.871,0.58383,0.75596,0.06906,2016,America,0.5248554684
Iran,0.22544,1.11758,0.38538,105,4.813,0.64232,0.38857,0.0557,2016,Asia,0.43425806060000005
Zambia,0.42662,0.61202,0.17866,106,4.795,0.23573,0.6376,0.11479,2016,Africa,0.390223952
Nepal,0.37012,0.44626,0.3816,107,4.793,0.50073,0.69699,0.07008,2016,Asia,0.3110387574
Palestinian Territories,0.17744,0.67024,0.11154,108,4.754,0.56844,0.71629,0.10613,2016,Asia,0.4800862095999999
Albania,0.31866,0.9553,0.1684,109,4.655,0.73007,0.50163,0.05301,2016,Other,0.47920713900000006
Bangladesh,0.39778,0.54177,0.19132,110,4.643,0.52989,0.24749,0.12583,2016,Asia,0.1340826573
Sierra Leone,0.30685,0.36485,0.23897,111,4.635,0.0,0.628,0.08196,2016,Africa,0.22912580000000002
Iraq,0.24856,1.07474,0.19589,112,4.575,0.51076,0.59205,0.13636,2016,Asia,0.6362998169999999
Namibia,0.48614,0.93287,0.07795,113,4.574,0.34745,0.70362,0.10398,2016,Africa,0.6563859894
Cameroon,0.42736,0.52497,0.2268,114,4.513,0.12698,0.62542,0.06126,2016,Africa,0.3283267374
Ethiopia,0.36703,0.29283,0.29522,115,4.508,0.34578,0.37932,0.1717,2016,Africa,0.1110762756
South Africa,0.42483,1.02416,0.13656,116,4.459,0.18611,0.96053,0.08415,2016,Africa,0.9837364047999999
Sri Lanka,0.50817,0.97318,0.46978,117,4.415,0.62007,0.84783,0.07964,2016,Asia,0.8250911994
India,0.40285,0.74036,0.25028,118,4.404,0.45091,0.29247,0.08722,2016,Asia,0.2165330892
Myanmar,0.42692,0.34112,0.81971,119,4.395,0.3988,0.69981,0.20243,2016,Asia,0.2387191872
Egypt,0.18847,0.95395,0.12706,120,4.362,0.52116,0.49813,0.10393,2016,Africa,0.4751911135
Armenia,0.14037,0.86086,0.07793,121,4.36,0.64083,0.62477,0.03616,2016,Asia,0.5378395022
Kenya,0.40576,0.52267,0.41328,122,4.356,0.30147,0.7624,0.06686,2016,Africa,0.39848360799999993
Ukraine,0.12859,0.87287,0.20363,123,4.324,0.58628,1.01413,0.01829,2016,Europe,0.8852036531
Ghana,0.40973,0.63107,0.21203,124,4.276,0.29681,0.49353,0.0326,2016,Africa,0.3114519771
Congo (Kinshasa),0.15602,0.05661,0.25458,125,4.272,0.188,0.80676,0.06075,2016,Africa,0.045670683600000005
Georgia,0.32461,0.83792,0.06786,126,4.252,0.64035,0.19249,0.3188,2016,Asia,0.1612912208
Congo (Brazzaville),0.37938,0.77109,0.12077,127,4.236,0.28212,0.47799,0.09753,2016,Africa,0.3685733091
Senegal,0.31056,0.44314,0.19103,128,4.219,0.40457,0.77416,0.11681,2016,Africa,0.34306126239999996
Bulgaria,0.21219,1.11306,0.12793,129,4.217,0.67806,0.92542,0.00615,2016,Europe,1.0300479852
Mauritania,0.1268,0.61391,0.22686,130,4.201,0.28639,0.84142,0.17955,2016,Africa,0.5165561522
Zimbabwe,0.25429,0.35041,0.18503,131,4.193,0.1595,0.71478,0.08582,2016,Africa,0.2504660598
Malawi,0.4143,0.08709,0.30968,132,4.156,0.29364,0.147,0.07564,2016,Other,0.01280223
Sudan,0.0,0.63069,0.18077,133,4.139,0.29759,0.81928,0.10039,2016,Africa,0.5167117031999999
Gabon,0.28098,1.15851,0.06244,134,4.121,0.3494,0.72368,0.09314,2016,Africa,0.8383905168
Mali,0.27544,0.31292,0.21064,135,4.073,0.16347,0.86333,0.13647,2016,Africa,0.2701532236
Haiti,0.12072,0.34097,0.47958,136,4.028,0.27494,0.29561,0.14476,2016,America,0.10079414169999999
Botswana,0.44089,1.09426,0.12425,137,3.974,0.34752,0.89186,0.10769,2016,Other,0.9759267236
Comoros,0.15412,0.27509,0.1827,138,3.956,0.29981,0.60323,0.18437,2016,Africa,0.1659425407
Ivory Coast,0.40663,0.55507,0.20338,139,3.916,0.04476,0.57576,0.1553,2016,Africa,0.3195871032
Cambodia,0.58852,0.55604,0.40339,140,3.907,0.42494,0.5375,0.08092,2016,Asia,0.29887149999999996
Angola,0.00589,0.84731,0.12071,141,3.866,0.04991,0.66366,0.08434,2016,Africa,0.5623257546
Niger,0.38041,0.1327,0.2097,142,3.856,0.26162,0.6053,0.17176,2016,Africa,0.08032331
South Sudan,0.19662,0.39394,0.25899,143,3.832,0.15781,0.18519,0.13015,2016,Africa,0.07295374859999999
Chad,0.12807,0.42214,0.18667,144,3.763,0.03824,0.63178,0.04952,2016,Africa,0.2666996092
Burkina Faso,0.3337,0.31995,0.24353,145,3.739,0.21297,0.63054,0.12533,2016,Africa,0.201741273
Uganda,0.43653,0.34719,0.27102,145,3.739,0.19625,0.90981,0.06442,2016,Africa,0.3158769339
